MINI_RAT	mini_001	mini_001,mini_002	yes
SMALL_SPIDER	small_base_001	small_base_001,small_base_002	yes
SMALL_BAT	small_base_001	small_base_001	yes
SMALL_RAVEN	small_base_001	small_base_001	yes
MEDIUM_DOG	medium_base_001	medium_base_001,medium_base_001_disease,medium_base_002,medium_base_003,medium_base_004,medium_base_005,medium_base_006,medium_base_007	yes
MEDIUM_RAT	medium_001	medium_001	yes
LARGE_SPIDER	large_001	large_001	yes
MEDIUM_BEAR	medium_base_001	medium_base_001	yes
LARGE_BEAR	large_001	large_001	yes
SWORD_MALE	sword_001	cloth014_common_common	yes
BOW_MALE	bow_001	bow_001	yes
DAGGER_FEMALE	dagger_001	cloth011_common_dagger001[onehandnormalsword],cloth016_common_dagger002[onehandnormalsword],dagger_001_003	yes
SPEAR_MALE	spear_001	spear_001	yes
BLUNT_MALE	blunt_001	cloth002_common_common,cloth019_common_common	yes
CROSSBOW_MALE	crossbow_001	cloth017_common_common,cloth024_common_common,plate001_common_common,plate004_common_common	yes
WAND_APPRENTICE	wand_halidom_001	cloth028_common_common,wand_halidom_001_002	yes
SWORD_KNIGHT	sword_shield_001	nude_default	yes
TWOHAND_SOLDIER	twohand_hammer_001	cloth002_common_common,cloth003_common_common	yes
STAFF_PRIEST	staff_001	nude_default	yes
INFECTED_MALE	infected_bishop_001	cloth001_common_common,cloth002_common_common	yes
MUTANT_MALE	knuckle_002_darkness	nude_001	yes
SPORE_HYBRID	knuckle_001	nude_001	yes
DEADTREE_STALK	knuckle_001	nude_001	yes
DISEASE_HYBRID	disease_mushroom_001	disease_mushroom_001	yes
MUTANT_FATMAN	mutant_001	darkness_001	yes
TEMPLE_SERVANT	servant_001	cloth001_common_common	yes
HALIDOM_KEEPER	halidom_001	cloth005_common_halidom001[normalhalidom]	yes
VEDA_STATUE	statue_of_veda_001_story_01	statue_of_veda_001	yes
FORGE_OVERSEER	hammer_001	cloth001_common_common,cloth003_common_common,cloth004_common_common,cloth005_common_common,cloth008_common_common,cloth009_common_common,cloth010_common_common,cloth011_common_common,cloth018_common_common,cloth020_common_common	yes
HAMMER_TANKER	hammer_shield_001	nude_default	yes
ROCK_GOLEM	golem_001	larc_golem_001	yes
CURSED_CASTER	staff_001	cloth006_common_common	yes
ARCANE_MAGE	wand_halidom_001	cloth006_common_common	yes
GRAND_MAGUS	wand_warlock_001	cloth025_common_common	yes
ABYSS_JAILER	jailer_001	largeman_cloth_002	yes
GARGOYLE	twohand_spear_001	nude_001	yes
ABYSS_DEVILMAN	twohand_spear_001	nude_001,nude_002	yes
CROW_REAPER	twohand_spear_001	nude_default	yes
GOATHEAD_BLADE	sword_001	nude_default	yes
WHITE_WOLF_KING	white_wolf_001	white_wolf_001	yes
